, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
847,0.01,0.0,0.92,0.02,0.57,0.23,0.26,1.06,1.44,0.46,0.18,0.15,0.0,0.0,0.36,0.09,0.69
848,0.0,0.0,0.68,0.03,0.51,0.5,0.26,1.01,1.33,0.59,0.1,0.1,0.0,0.0,0.07,0.09,0.75
849,0.0,0.0,0.88,0.03,0.43,0.38,0.39,1.03,1.28,0.56,0.3,0.25,0.0,0.0,0.23,0.2,0.61
850,0.0,0.0,1.07,0.01,0.42,0.28,0.38,0.94,1.13,0.26,0.47,0.32,0.0,0.0,0.66,0.45,0.26
851,0.0,0.0,1.04,0.0,0.27,0.0,0.37,1.24,1.12,0.01,0.56,0.46,0.0,0.0,1.19,0.93,0.23
852,0.0,0.0,0.91,0.0,0.16,0.0,0.34,1.44,1.04,0.21,0.36,0.52,0.0,0.0,1.12,0.96,0.34
853,0.0,0.0,0.48,0.0,0.05,0.0,0.29,1.55,1.07,0.21,0.37,0.42,0.0,0.0,0.67,1.11,0.71
854,0.0,0.0,0.39,0.26,0.07,0.27,0.14,1.36,1.03,0.25,0.77,0.77,0.0,0.28,0.26,1.03,0.62
855,0.06,0.02,0.22,0.26,0.07,0.27,0.07,1.24,1.04,0.17,0.89,0.79,0.0,0.28,0.12,1.15,0.61
856,0.06,0.02,0.5,0.26,0.11,0.27,0.03,1.24,1.11,0.29,0.62,1.04,0.0,0.28,0.31,0.89,0.43
857,0.06,0.02,0.51,0.0,0.12,0.0,0.03,1.5,1.19,0.26,0.44,0.79,0.0,0.0,0.24,0.78,0.55
858,0.1,0.0,0.66,0.0,0.13,0.0,0.0,1.45,1.23,0.12,0.45,0.56,0.0,0.0,0.46,0.62,0.4
859,0.1,0.0,0.6,0.0,0.17,0.0,0.0,1.5,1.31,0.09,0.48,0.43,0.0,0.0,0.28,0.5,0.57
860,0.1,0.0,0.63,0.0,0.14,0.13,0.0,1.59,1.28,0.09,0.22,0.32,0.0,0.0,0.65,0.7,0.7
861,0.11,0.0,0.58,0.0,0.16,0.22,0.0,1.68,1.26,0.26,0.09,0.48,0.0,0.0,0.64,1.31,0.7
862,0.21,0.0,0.72,0.0,0.08,0.22,0.0,1.45,1.06,0.4,0.22,0.52,0.0,0.0,0.64,1.64,0.26
863,0.25,0.12,0.85,0.0,0.03,0.08,0.0,0.98,0.92,0.47,0.17,0.44,0.0,0.0,0.31,1.33,0.0
864,0.2,0.12,0.94,0.0,0.0,0.0,0.0,0.69,0.82,0.32,0.31,0.62,0.05,0.0,0.09,0.94,0.0
865,0.1,0.38,0.59,0.0,0.05,0.0,0.0,0.9,1.03,0.39,1.19,0.75,0.12,0.24,0.34,0.78,0.06
866,0.11,0.26,0.6,0.0,0.05,0.0,0.0,0.89,1.06,0.32,1.18,0.72,0.24,0.24,0.43,0.88,0.06
867,0.19,0.41,0.47,0.0,0.05,0.0,0.0,1.02,1.22,0.3,1.08,0.56,0.19,0.24,0.69,0.55,0.06
868,0.27,0.4,0.79,0.0,0.0,0.0,0.0,0.93,1.04,0.0,0.05,0.24,0.12,0.0,0.77,0.29,0.0
869,0.21,0.4,0.93,0.0,0.04,0.0,0.0,1.21,1.18,0.0,0.05,0.26,0.0,0.0,1.04,0.0,0.01
